Alpha,,Slope
-2,-0.2275956,0.1132332
-1.5,-0.170979,0.1134952
-1,-0.1142314,0.11441974
-0.5,-0.05702153,0.114051133
0,4.04E-06,0.114304387
0.5,0.05715623,0.11398674
1,0.1141496,0.1138668
1.5,0.171083,0.1132442
2,0.2277051,0.1117602
2.5,0.2835852,0.111068
3,0.3391192,0.1108508
3.5,0.3945446,0.1091442
4,0.4491167,0.1070304
4.5,0.5026319,0.0807432
5,0.5430035,0.077095
5.5,0.581551,0.0879076
6,0.6255048,0.0911026
6.5,0.6710561,0.0888946
7,0.7155034,0.0975726
7.5,0.7642897,0.1216838
8,0.8251316,0.0969136
9,0.9220452,0.0511106
9.5,0.9476005,0.053779
10,0.97449,0.044328
10.5,0.996654,0.05562
11,1.024464,0.051562
11.5,1.050245,0.048442
12,1.074466,0.044352
12.5,1.096642,0.038528
13,1.115906,0.02929
13.5,1.130551,0.01125
14,1.136176,0.007462
14.5,1.139907,-0.004944
15,1.137435,-0.018956
15.5,1.127957,-0.033272
16,1.111321,-0.048676
16.5,1.086983,-0.067926
17,1.05302,-0.100664
17.5,1.002688,-0.1760836
18,0.9146462,-0.3673834
18.5,0.7309545,0.039511054
