X,NACA 642A015-Re=  700000-Alpha=18.00, , X,NACA 642A015-Re=  700000-Alpha=18.00_Inviscid, , 
            1,    -0.3233547, ,             1,     0.5606866, , 
     0.987976,    -0.3261538, ,      0.987976,     0.2901275, , 
     0.968852,    -0.3306365, ,      0.968852,     0.2020947, , 
     0.948492,    -0.3354861, ,      0.948492,     0.1296291, , 
     0.927121,    -0.3406772, ,      0.927121,     0.0691803, , 
     0.905046,     -0.346158, ,      0.905046,    0.01385465, , 
       0.8825,    -0.3518907, ,        0.8825,   -0.03842374, , 
     0.859621,    -0.3578587, ,      0.859621,    -0.0889606, , 
     0.836521,    -0.3640496, ,      0.836521,     -0.139106, , 
       0.8133,    -0.3704531, ,        0.8133,    -0.1892779, , 
     0.790031,    -0.3770644, ,      0.790031,    -0.2409039, , 
     0.766768,    -0.3838837, ,      0.766768,    -0.2947544, , 
     0.743584,    -0.3909052, ,      0.743584,    -0.3522564, , 
     0.720568,    -0.3981175, ,      0.720568,    -0.4148041, , 
     0.697763,    -0.4055263, ,      0.697763,     -0.479027, , 
     0.675156,    -0.4131552, ,      0.675156,    -0.5440591, , 
     0.652717,    -0.4210347, ,      0.652717,    -0.6099496, , 
     0.630434,    -0.4291918, ,      0.630434,    -0.6769251, , 
     0.608302,    -0.4376526, ,      0.608302,    -0.7456654, , 
     0.586311,    -0.4464497, ,      0.586311,    -0.8155081, , 
     0.564453,    -0.4556177, ,      0.564453,    -0.8867328, , 
     0.542737,     -0.465187, ,      0.542737,    -0.9611481, , 
     0.521186,     -0.475187, ,      0.521186,     -1.039078, , 
     0.499817,    -0.4856557, ,      0.499817,     -1.119489, , 
     0.478626,    -0.4966482, ,      0.478626,     -1.201662, , 
     0.457616,    -0.5082228, ,      0.457616,      -1.28625, , 
     0.436807,    -0.5204379, ,      0.436807,     -1.373661, , 
     0.416215,    -0.5333674, ,      0.416215,     -1.461069, , 
     0.395779,    -0.5471519, ,      0.395779,     -1.540682, , 
     0.375379,    -0.5619876, ,      0.375379,     -1.604618, , 
     0.354929,    -0.5780345, ,      0.354929,     -1.665587, , 
     0.334435,    -0.5954006, ,      0.334435,     -1.730263, , 
      0.31397,    -0.6141559, ,       0.31397,     -1.800898, , 
     0.293621,    -0.6343683, ,      0.293621,     -1.878459, , 
     0.273477,    -0.6561105, ,      0.273477,     -1.964287, , 
     0.253646,    -0.6794379, ,      0.253646,     -2.059235, , 
      0.23425,     -0.704362, ,       0.23425,     -2.165431, , 
     0.215433,    -0.7307605, ,      0.215433,     -2.281089, , 
      0.19735,     -0.758056, ,       0.19735,     -2.406524, , 
     0.180145,    -0.7844156, ,      0.180145,     -2.541909, , 
     0.163935,    -0.8163058, ,      0.163935,     -2.686465, , 
     0.148792,     -0.876403, ,      0.148792,     -2.846295, , 
     0.134744,    -0.9552223, ,      0.134744,     -3.023609, , 
     0.121817,     -1.049357, ,      0.121817,     -3.213946, , 
     0.110023,     -1.154688, ,      0.110023,     -3.412043, , 
     0.099329,     -1.267873, ,      0.099329,     -3.620862, , 
     0.089655,     -1.386734, ,      0.089655,     -3.840746, , 
     0.080902,     -1.510364, ,      0.080902,     -4.073083, , 
     0.072964,     -1.639589, ,      0.072964,     -4.329424, , 
     0.065739,     -1.775233, ,      0.065739,     -4.611453, , 
     0.059141,     -1.918167, ,      0.059141,     -4.922197, , 
     0.053092,     -2.068238, ,      0.053092,     -5.245532, , 
     0.047524,      -2.22986, ,      0.047524,     -5.621275, , 
     0.042382,      -2.40382, ,      0.042382,     -6.032089, , 
     0.037624,     -2.593265, ,      0.037624,     -6.482911, , 
     0.033211,     -2.804229, ,      0.033211,     -6.963936, , 
      0.02911,     -3.053191, ,       0.02911,     -7.497402, , 
     0.025291,      -3.37431, ,      0.025291,     -8.105489, , 
     0.021731,     -3.837428, ,      0.021731,      -8.86938, , 
     0.018419,      -4.53064, ,      0.018419,     -9.756293, , 
     0.015347,     -5.570111, ,      0.015347,     -10.76022, , 
     0.012504,      -5.75304, ,      0.012504,     -11.91539, , 
     0.009881,     -5.771531, ,      0.009881,     -13.40192, , 
      0.00748,      -5.79884, ,       0.00748,     -15.30023, , 
     0.005336,     -5.892187, ,      0.005336,     -18.29371, , 
     0.003567,     -6.226556, ,      0.003567,     -19.99229, , 
     0.002182,     -6.437041, ,      0.002182,     -20.15868, , 
     0.001145,       -6.1697, ,      0.001145,     -19.48274, , 
     0.000425,     -5.974235, ,      0.000425,     -18.90312, , 
     0.000179,     -6.209409, ,      0.000179,     -18.34655, , 
            0,     -6.854843, ,             0,     -24.88553, , 
     0.000424,     -3.777807, ,      0.000424,     -13.93744, , 
      0.00112,     -3.007814, ,       0.00112,     -12.36661, , 
      0.00213,     -2.164317, ,       0.00213,     -10.22329, , 
     0.003477,     -1.406653, ,      0.003477,     -8.200798, , 
     0.005195,    -0.6813851, ,      0.005195,      -6.05306, , 
     0.007284,   -0.07868025, ,      0.007284,     -3.991828, , 
      0.00963,     0.2915726, ,       0.00963,     -2.698656, , 
     0.012192,     0.5372811, ,      0.012192,     -1.791068, , 
     0.014967,     0.7036542, ,      0.014967,      -1.13571, , 
     0.017964,     0.8189336, ,      0.017964,    -0.6351384, , 
     0.021191,     0.8974064, ,      0.021191,    -0.2490868, , 
      0.02466,      0.949122, ,       0.02466,    0.05111368, , 
     0.028376,      0.980813, ,      0.028376,     0.2776056, , 
     0.032363,     0.9983054, ,      0.032363,     0.4566398, , 
     0.036646,      1.004749, ,      0.036646,     0.5979763, , 
     0.041257,      1.002634, ,      0.041257,     0.7100353, , 
     0.046232,     0.9937128, ,      0.046232,     0.7980351, , 
      0.05161,     0.9794646, ,       0.05161,     0.8658146, , 
      0.05744,     0.9606321, ,       0.05744,     0.9169359, , 
     0.063785,     0.9380731, ,      0.063785,     0.9545015, , 
     0.070715,     0.9121697, ,      0.070715,     0.9805765, , 
     0.078312,     0.8833014, ,      0.078312,     0.9966984, , 
     0.086669,     0.8513748, ,      0.086669,      1.004155, , 
     0.095886,     0.8166742, ,      0.095886,      1.003903, , 
     0.106063,     0.7795634, ,      0.106063,     0.9967007, , 
     0.117284,     0.7404025, ,      0.117284,     0.9832744, , 
     0.129599,     0.6996449, ,      0.129599,     0.9644106, , 
     0.143013,     0.6578254, ,      0.143013,       0.94099, , 
       0.1575,     0.6151567, ,        0.1575,     0.9138479, , 
     0.173038,     0.5714421, ,      0.173038,     0.8835768, , 
     0.189579,     0.5274898, ,      0.189579,     0.8510275, , 
     0.207028,     0.4838972, ,      0.207028,     0.8169782, , 
     0.225256,      0.441126, ,      0.225256,     0.7821788, , 
     0.244118,     0.3991968, ,      0.244118,     0.7470932, , 
     0.263469,     0.3581159, ,      0.263469,      0.712094, , 
     0.283181,     0.3178646, ,      0.283181,     0.6774267, , 
     0.303144,     0.2785528, ,      0.303144,     0.6433492, , 
     0.323264,     0.2398871, ,      0.323264,     0.6097802, , 
     0.343458,     0.2021852, ,      0.343458,     0.5770331, , 
     0.363646,     0.1655589, ,      0.363646,      0.545162, , 
     0.383777,     0.1308709, ,      0.383777,     0.5147036, , 
     0.403883,     0.1009145, ,      0.403883,     0.4876199, , 
     0.424074,    0.07792576, ,      0.424074,     0.4655715, , 
     0.444448,    0.05970128, ,      0.444448,     0.4468221, , 
     0.465033,    0.04374557, ,      0.465033,     0.4297156, , 
     0.485806,    0.02973876, ,      0.485806,     0.4144292, , 
      0.50675,    0.01746182, ,       0.50675,     0.4008662, , 
      0.52787,   0.006790164, ,       0.52787,     0.3889998, , 
     0.549163,  -0.002850885, ,      0.549163,     0.3783338, , 
      0.57061,   -0.01173504, ,       0.57061,     0.3687076, , 
     0.592191,   -0.01989081, ,      0.592191,     0.3601247, , 
     0.613901,   -0.02694023, ,      0.613901,     0.3529898, , 
     0.635751,   -0.03295746, ,      0.635751,     0.3471739, , 
     0.657749,   -0.03794968, ,      0.657749,     0.3427368, , 
       0.6799,   -0.04231356, ,        0.6799,     0.3392788, , 
      0.70222,   -0.04577225, ,       0.70222,     0.3373138, , 
     0.724737,   -0.04883313, ,      0.724737,      0.336428, , 
     0.747457,   -0.05228634, ,      0.747457,     0.3361357, , 
     0.770326,   -0.05810019, ,      0.770326,     0.3345061, , 
      0.79326,   -0.06607824, ,       0.79326,     0.3324432, , 
     0.816192,   -0.07625393, ,      0.816192,     0.3301408, , 
      0.83907,   -0.08848217, ,       0.83907,     0.3280236, , 
     0.861821,    -0.1026396, ,      0.861821,     0.3265614, , 
     0.884347,    -0.1190909, ,      0.884347,      0.325852, , 
      0.90654,    -0.1379395, ,       0.90654,     0.3266817, , 
     0.928265,    -0.1600676, ,      0.928265,      0.329537, , 
     0.949291,    -0.1861488, ,      0.949291,     0.3361773, , 
     0.969325,    -0.2186406, ,      0.969325,     0.3500026, , 
     0.988152,    -0.2603438, ,      0.988152,      0.376744, , 
            1,    -0.3233547, ,             1,     0.5606866, , 

