X_top,Top, X_bottom,Bot,, , 
0.046232,0.000287935,0.05161,0.000207728,, , 
0.041257,0.000922227,0.05744,0.000599939,, , 
0.036646,0.001628443,0.063785,0.000965856,, , 
0.032363,0.002578072,0.070715,0.00121682,, , 
0.028376,0.003658241,0.078312,0.00147588,, , 
0.02466,0.005079693,0.086669,0.001654925,, , 
0.021191,0.006942587,0.095886,0.001829759,, , 
0.017964,0.009217851,0.106063,0.001951753,, , 
0.014967,0.01218513,0.117284,0.002057159,, , 
0.012192,0.01598763,0.129599,0.002131218,, , 
0.00963,0.02152262,0.143013,0.002186229,, , 
0.007284,0.02916636,0.1575,0.002229679,, , 
0.005195,0.04251661,0.173038,0.002271198,, , 
0.003477,0.04647,0.189579,0.002288837,, , 
0.00213,0.05178835,0.207028,0.002298107,, , 
0.00112,0.05746972,0.225256,0.002297715,, , 
0.000424,0.05466151,0.244118,0.002298434,, , 
0,0.1590648,0.263469,0.002299039,, , 
0.000179,-0.004427949,0.283181,0.002300761,, , 
0.000425,0.01336644,0.303144,0.00230079,, , 
0.001145,0.04606964,0.323264,0.002307613,, , 
0.002182,0.04513707,0.343458,0.002308699,, , 
0.003567,0.02398337,0.363646,0.00230863,, , 
0.005336,-0.002907793,0.383777,0.002291429,, , 
0.00748,-0.003153456,0.403883,0.002213098,, , 
0.009881,-0.002896359,0.424074,0.002071115,, , 
0.012504,-0.001565277,0.444448,0.001946958,, , 
0.015347,0.001636315,0.465033,0.001864414,, , 
0.018419,0.00641978,0.485806,0.001792013,, , 
0.021731,0.01008985,0.50675,0.00172377,, , 
0.025291,0.011833,0.52787,0.001657095,, , 
0.02911,0.01248665,0.549163,0.001600667,, , 
0.033211,0.01245223,0.57061,0.001552382,, , 
0.037624,0.01201571,0.592191,0.001507668,, , 
0.042382,0.0113316,0.613901,0.001457309,, , 
0.047524,0.01055937,0.635751,0.001405731,, , 
0.053092,0.009773546,0.657749,0.001353209,, , 
0.059141,0.009055699,0.6799,0.00130695,, , 
0.065739,0.008337581,0.70222,0.001258005,, , 
0.072964,0.007668888,0.724737,0.001215971,, , 
0.080902,0.007052093,0.747457,0.001190585,, , 
0.089655,0.006481888,0.770326,0.001208031,, , 
0.099329,0.005929368,0.79326,0.001245269,, , 
0.110023,0.0053871,0.816192,0.001295056,, , 
0.121817,0.004851467,0.83907,0.001351078,, , 
0.134744,0.004316789,0.861821,0.001410635,, , 
0.148792,0.003793558,0.884347,0.001480079,, , 
0.163935,0.003287084,0.90654,0.001559237,, , 
0.180145,0.002788183,0.928265,0.001660203,, , 
0.19735,0.002286741,0.949291,0.001788791,, , 
0.215433,0.001790535,0.969325,0.001977849,, , 
0.23425,0.001315201,0.988152,0.002252291,, , 
0.253646,0.000883192,1,0.002976361,, , 
0.273477,0.000516722,1.0001,0,, , 
0.293621,0.000222197,1.012174,0,, , 
0.31397,1.98E-05,1.026154,0,, , 
0.334435,-4.67E-06,1.042341,0,, , 
0.354929,-1.36E-05,1.061082,0,, , 
0.375379,-1.52E-05,1.082777,0,, , 
0.395779,-1.46E-05,1.107889,0,, , 
0.416215,-1.35E-05,1.136952,0,, , 
0.436807,-1.25E-05,1.170586,0,, , 
0.457616,-1.16E-05,1.209504,0,, , 
0.478626,-1.09E-05,1.254529,0,, , 
0.499817,-1.02E-05,1.306616,0,, , 
0.521186,-9.67E-06,1.366861,0,, , 
0.542737,-9.14E-06,1.436537,0,, , 
0.564453,-8.65E-06,1.517109,0,, , 
0.586311,-8.20E-06,1.610272,0,, , 
0.608302,-7.78E-06,1.717986,0,, , 
0.630434,-7.38E-06,1.842513,0,, , 
0.652717,-7.02E-06, , , , , 
0.675156,-6.68E-06, , , , , 
0.697763,-6.36E-06, , , , , 
0.720568,-6.06E-06, , , , , 
0.743584,-5.78E-06, , , , , 
0.766768,-5.51E-06, , , , , 
0.790031,-5.26E-06, , , , , 
0.8133,-5.03E-06, , , , , 
0.836521,-4.82E-06, , , , , 
0.859621,-4.62E-06, , , , , 
0.8825,-4.44E-06, , , , , 
0.905046,-4.27E-06, , , , , 
0.927121,-4.11E-06, , , , , 
0.948492,-3.97E-06, , , , , 
0.968852,-3.84E-06, , , , , 
0.987976,-3.73E-06, , , , , 
1,-3.66E-06, , , , , 
1.0001,0, , , , , 
1.012174,0, , , , , 
1.026154,0, , , , , 
1.042341,0, , , , , 
1.061082,0, , , , , 
1.082777,0, , , , , 
1.107889,0, , , , , 
1.136952,0, , , , , 
1.170586,0, , , , , 
1.209504,0, , , , , 
1.254529,0, , , , , 
1.306616,0, , , , , 
1.366861,0, , , , , 
1.436537,0, , , , , 
1.517109,0, , , , , 
1.610272,0, , , , , 
1.717986,0, , , , , 
1.842513,0, , , , , 
